name,type2_T1.G.1_T1.G.1_gap2,type2_T1.G.1_T1.G.2_gap2,type2_T1.G.2_T1.G.1_gap2,type2_T1.G.2_T1.G.2_gap2,target
CPP_positive_1,0.0,2.0,1.0,1.0,1
CPP_positive_2,0.0,2.0,3.0,1.0,1
CPP_positive_3,4.0,0.0,1.0,3.0,1
CPP_positive_4,4.0,3.0,1.0,1.0,1
CPP_positive_5,2.0,1.0,2.0,1.0,1
CPP_positive_6,1.0,1.0,0.0,2.0,1
CPP_positive_7,1.0,1.0,1.0,1.0,1
CPP_positive_8,2.0,1.0,0.0,1.0,1
CPP_positive_9,0.0,2.0,0.0,2.0,1
CPP_positive_10,3.0,0.0,0.0,1.0,1
CPP_positive_11,1.0,2.0,1.0,1.0,1
CPP_positive_12,1.0,3.0,3.0,2.0,1
CPP_positive_13,0.0,1.0,1.0,1.0,1
CPP_positive_14,3.0,1.0,1.0,5.0,1
CPP_positive_15,1.0,0.0,0.0,2.0,1
CPP_positive_16,1.0,2.0,4.0,3.0,1
CPP_positive_17,3.0,0.0,1.0,0.0,1
CPP_positive_18,1.0,0.0,0.0,3.0,1
CPP_positive_19,2.0,2.0,1.0,0.0,1
CPP_positive_20,3.0,2.0,1.0,1.0,1
CPP_positive_21,0.0,3.0,2.0,1.0,1
CPP_positive_22,1.0,0.0,2.0,2.0,1
CPP_positive_23,2.0,2.0,2.0,0.0,1
CPP_positive_24,2.0,1.0,2.0,0.0,1
CPP_positive_25,1.0,3.0,0.0,2.0,1
CPP_positive_26,7.0,1.0,0.0,1.0,1
CPP_positive_27,5.0,2.0,2.0,0.0,1
CPP_positive_28,2.0,2.0,2.0,0.0,1
CPP_positive_29,1.0,0.0,4.0,0.0,1
CPP_positive_30,3.0,1.0,0.0,2.0,1
CPP_positive_31,1.0,2.0,2.0,0.0,1
CPP_positive_32,2.0,1.0,3.0,0.0,1
CPP_positive_33,3.0,1.0,0.0,1.0,1
CPP_positive_34,2.0,1.0,2.0,0.0,1
CPP_positive_35,2.0,2.0,2.0,0.0,1
CPP_positive_36,3.0,0.0,1.0,0.0,1
CPP_positive_37,2.0,3.0,0.0,2.0,1
CPP_positive_38,4.0,3.0,0.0,0.0,1
CPP_positive_39,1.0,0.0,2.0,1.0,1
CPP_positive_40,0.0,2.0,1.0,1.0,1
CPP_positive_41,6.0,1.0,1.0,0.0,1
CPP_positive_42,2.0,3.0,1.0,0.0,1
CPP_positive_43,1.0,0.0,1.0,3.0,1
CPP_positive_44,2.0,0.0,1.0,1.0,1
CPP_positive_45,3.0,1.0,2.0,0.0,1
CPP_positive_46,2.0,0.0,0.0,1.0,1
CPP_positive_47,0.0,0.0,0.0,3.0,1
CPP_positive_48,2.0,3.0,1.0,1.0,1
CPP_positive_49,4.0,2.0,0.0,0.0,1
CPP_positive_50,0.0,2.0,0.0,1.0,1
CPP_positive_51,0.0,3.0,0.0,2.0,1
CPP_positive_52,1.0,0.0,0.0,3.0,1
CPP_positive_53,2.0,0.0,2.0,0.0,1
CPP_positive_54,2.0,1.0,1.0,1.0,1
CPP_positive_55,4.0,1.0,1.0,1.0,1
CPP_positive_56,1.0,1.0,1.0,3.0,1
CPP_positive_57,0.0,1.0,3.0,4.0,1
CPP_positive_58,0.0,2.0,1.0,1.0,1
CPP_positive_59,4.0,0.0,2.0,2.0,1
CPP_positive_60,2.0,0.0,2.0,0.0,1
CPP_positive_61,6.0,1.0,0.0,2.0,1
CPP_positive_62,3.0,2.0,0.0,1.0,1
CPP_positive_63,2.0,3.0,0.0,3.0,1
CPP_positive_64,2.0,2.0,2.0,0.0,1
CPP_positive_65,4.0,3.0,0.0,1.0,1
CPP_positive_66,1.0,1.0,1.0,1.0,1
CPP_positive_67,0.0,1.0,3.0,2.0,1
CPP_positive_68,1.0,1.0,0.0,2.0,1
CPP_positive_69,4.0,1.0,2.0,1.0,1
CPP_positive_70,2.0,0.0,1.0,2.0,1
CPP_positive_71,3.0,3.0,0.0,0.0,1
CPP_positive_72,0.0,2.0,3.0,3.0,1
CPP_positive_73,2.0,0.0,1.0,1.0,1
CPP_positive_74,0.0,1.0,1.0,3.0,1
CPP_positive_75,2.0,1.0,0.0,4.0,1
CPP_positive_76,0.0,1.0,0.0,2.0,1
CPP_positive_77,1.0,1.0,2.0,0.0,1
CPP_positive_78,2.0,2.0,0.0,0.0,1
CPP_positive_79,1.0,0.0,0.0,2.0,1
CPP_positive_80,3.0,1.0,0.0,0.0,1
CPP_positive_81,6.0,3.0,0.0,1.0,1
CPP_positive_82,1.0,2.0,1.0,1.0,1
CPP_positive_83,6.0,0.0,0.0,0.0,1
CPP_positive_84,3.0,1.0,2.0,3.0,1
CPP_positive_85,2.0,1.0,0.0,1.0,1
CPP_positive_86,0.0,1.0,2.0,3.0,1
CPP_positive_87,3.0,2.0,2.0,0.0,1
CPP_positive_88,6.0,0.0,0.0,2.0,1
CPP_positive_89,2.0,1.0,1.0,2.0,1
CPP_positive_90,1.0,1.0,2.0,1.0,1
CPP_positive_91,3.0,2.0,1.0,2.0,1
CPP_positive_92,4.0,0.0,0.0,0.0,1
CPP_positive_93,7.0,0.0,1.0,1.0,1
CPP_positive_94,2.0,1.0,3.0,2.0,1
CPP_positive_95,2.0,1.0,1.0,1.0,1
CPP_positive_96,1.0,1.0,2.0,0.0,1
CPP_positive_97,3.0,1.0,0.0,0.0,1
CPP_positive_98,1.0,2.0,0.0,2.0,1
CPP_positive_99,2.0,0.0,0.0,1.0,1
CPP_positive_100,0.0,1.0,0.0,1.0,1
CPP_positive_101,2.0,1.0,0.0,0.0,1
CPP_positive_102,3.0,1.0,0.0,0.0,1
CPP_positive_103,1.0,0.0,1.0,2.0,1
CPP_positive_104,1.0,5.0,4.0,0.0,1
CPP_positive_105,1.0,2.0,2.0,1.0,1
CPP_positive_106,1.0,1.0,1.0,0.0,1
CPP_positive_107,0.0,1.0,3.0,4.0,1
CPP_positive_108,1.0,0.0,2.0,1.0,1
CPP_positive_109,3.0,0.0,0.0,1.0,1
CPP_positive_110,0.0,2.0,1.0,1.0,1
CPP_positive_111,2.0,1.0,1.0,2.0,1
CPP_positive_112,0.0,1.0,2.0,2.0,1
CPP_positive_113,2.0,2.0,0.0,0.0,1
CPP_positive_114,4.0,0.0,0.0,3.0,1
CPP_positive_115,0.0,0.0,2.0,2.0,1
CPP_positive_116,2.0,2.0,0.0,0.0,1
CPP_positive_117,0.0,1.0,3.0,2.0,1
CPP_positive_118,2.0,2.0,1.0,0.0,1
CPP_positive_119,1.0,0.0,2.0,1.0,1
CPP_positive_120,6.0,0.0,1.0,2.0,1
CPP_positive_121,4.0,0.0,0.0,0.0,1
CPP_positive_122,2.0,3.0,2.0,2.0,1
CPP_positive_123,5.0,2.0,0.0,2.0,1
CPP_positive_124,0.0,4.0,1.0,0.0,1
CPP_positive_125,2.0,1.0,1.0,0.0,1
CPP_positive_126,4.0,1.0,1.0,0.0,1
CPP_positive_127,1.0,2.0,2.0,4.0,1
CPP_positive_128,3.0,1.0,2.0,0.0,1
CPP_positive_129,3.0,2.0,1.0,0.0,1
CPP_positive_130,3.0,1.0,2.0,0.0,1
CPP_positive_131,1.0,1.0,1.0,3.0,1
CPP_positive_132,3.0,1.0,2.0,0.0,1
CPP_positive_133,2.0,2.0,2.0,0.0,1
CPP_positive_134,7.0,1.0,1.0,0.0,1
CPP_positive_135,2.0,0.0,1.0,1.0,1
CPP_positive_136,2.0,2.0,2.0,1.0,1
CPP_positive_137,3.0,0.0,2.0,1.0,1
CPP_positive_138,1.0,1.0,1.0,2.0,1
CPP_positive_139,2.0,1.0,1.0,3.0,1
CPP_positive_140,3.0,2.0,2.0,2.0,1
CPP_positive_141,1.0,1.0,1.0,2.0,1
CPP_positive_142,0.0,1.0,2.0,2.0,1
CPP_positive_143,0.0,2.0,0.0,3.0,1
CPP_positive_144,1.0,1.0,1.0,2.0,1
CPP_positive_145,3.0,3.0,0.0,0.0,1
CPP_positive_146,4.0,0.0,2.0,4.0,1
CPP_positive_147,4.0,0.0,1.0,3.0,1
CPP_positive_148,5.0,0.0,0.0,3.0,1
CPP_positive_149,0.0,2.0,3.0,3.0,1
CPP_positive_150,5.0,0.0,3.0,1.0,1
CPP_positive_151,4.0,2.0,2.0,0.0,1
CPP_positive_152,0.0,2.0,2.0,4.0,1
CPP_positive_153,0.0,3.0,3.0,2.0,1
CPP_positive_154,3.0,2.0,1.0,4.0,1
CPP_positive_155,1.0,3.0,0.0,0.0,1
CPP_positive_156,2.0,0.0,1.0,6.0,1
CPP_positive_157,0.0,10.0,0.0,0.0,1
CPP_positive_158,0.0,10.0,0.0,0.0,1
CPP_positive_159,6.0,0.0,2.0,0.0,1
CPP_positive_160,4.0,2.0,3.0,0.0,1
CPP_positive_161,4.0,2.0,1.0,0.0,1
CPP_positive_162,5.0,1.0,1.0,0.0,1
CPP_positive_163,4.0,2.0,2.0,0.0,1
CPP_positive_164,3.0,0.0,2.0,1.0,1
CPP_positive_165,4.0,0.0,3.0,1.0,1
CPP_positive_166,3.0,1.0,1.0,1.0,1
CPP_positive_167,2.0,0.0,3.0,2.0,1
CPP_positive_168,1.0,2.0,1.0,4.0,1
CPP_positive_169,2.0,1.0,2.0,1.0,1
CPP_positive_170,2.0,1.0,2.0,1.0,1
CPP_positive_171,2.0,1.0,0.0,2.0,1
CPP_positive_172,3.0,2.0,2.0,0.0,1
CPP_positive_173,1.0,1.0,1.0,1.0,1
CPP_positive_174,0.0,3.0,2.0,2.0,1
CPP_positive_175,2.0,0.0,1.0,4.0,1
CPP_positive_176,7.0,0.0,0.0,3.0,1
CPP_positive_177,4.0,0.0,1.0,2.0,1
CPP_positive_178,0.0,0.0,4.0,0.0,1
CPP_positive_179,6.0,1.0,0.0,2.0,1
CPP_positive_180,6.0,2.0,1.0,0.0,1
CPP_positive_181,3.0,1.0,0.0,3.0,1
CPP_positive_182,3.0,1.0,0.0,3.0,1
CPP_positive_183,1.0,3.0,1.0,2.0,1
CPP_positive_184,2.0,3.0,1.0,0.0,1
CPP_positive_185,0.0,1.0,4.0,0.0,1
CPP_positive_186,5.0,0.0,1.0,0.0,1
CPP_positive_187,2.0,1.0,0.0,2.0,1
CPP_positive_188,3.0,0.0,1.0,1.0,1
CPP_positive_189,3.0,4.0,3.0,0.0,1
CPP_positive_190,2.0,1.0,0.0,7.0,1
