name,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,target
CPP_positive_1,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0833333333333333,0.0,0.4166666666666667,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_2,0.0,0.0,0.0,0.0,0.1052631578947368,0.0526315789473684,0.0526315789473684,0.0,0.1052631578947368,0.1578947368421052,0.0526315789473684,0.0526315789473684,0.1052631578947368,0.1052631578947368,0.0526315789473684,0.0,0.0,0.0,0.1052631578947368,0.0526315789473684,1
CPP_positive_3,0.0416666666666666,0.0,0.0,0.0,0.0416666666666666,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.375,0.0,0.0833333333333333,0.0833333333333333,0.125,0.0,1
CPP_positive_4,0.1923076923076923,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0769230769230769,0.0,0.0,0.1153846153846153,0.1923076923076923,0.0,0.0384615384615384,0.0384615384615384,0.0,0.0,0.0384615384615384,0.0769230769230769,0.0769230769230769,0.0,0.0,1
CPP_positive_5,0.0588235294117647,0.0588235294117647,0.0,0.0,0.0588235294117647,0.1176470588235294,0.0588235294117647,0.0,0.2352941176470588,0.3529411764705882,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_6,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,1
CPP_positive_7,0.0,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0,0.0,0.1666666666666666,1
CPP_positive_8,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.25,0.1666666666666666,0.0,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,1
CPP_positive_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0833333333333333,0.4166666666666667,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,1
CPP_positive_10,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.25,0.0,0.0,0.1666666666666666,0.0833333333333333,0.0,0.1666666666666666,0.0,0.0833333333333333,0.0833333333333333,0.0,1
CPP_positive_11,0.0625,0.0,0.0,0.0,0.0,0.125,0.0,0.0625,0.0,0.125,0.0,0.0,0.0,0.0625,0.5,0.0625,0.0,0.0,0.0,0.0,1
CPP_positive_12,0.074074074074074,0.0,0.0,0.1481481481481481,0.037037037037037,0.074074074074074,0.0,0.037037037037037,0.1851851851851851,0.2592592592592592,0.0,0.037037037037037,0.0,0.0,0.1481481481481481,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_13,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.1,1
CPP_positive_14,0.0333333333333333,0.0333333333333333,0.0666666666666666,0.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0,0.2,0.0666666666666666,0.0,0.0,0.0333333333333333,0.0666666666666666,0.2666666666666666,0.0333333333333333,0.0333333333333333,0.0666666666666666,0.0,0.0,1
CPP_positive_15,0.25,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_16,0.1333333333333333,0.0333333333333333,0.0,0.0666666666666666,0.0,0.0333333333333333,0.0,0.1,0.1666666666666666,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0,0.0,0.3,0.0666666666666666,0.0,0.0,0.0,0.0,1
CPP_positive_17,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,1
CPP_positive_18,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.3636363636363636,0.0909090909090909,0.0,0.0,0.0,0.1818181818181818,0.1818181818181818,0.0909090909090909,0.0,0.0,0.0,0.0,1
CPP_positive_19,0.0,0.0666666666666666,0.0,0.0,0.0666666666666666,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666,0.3333333333333333,0.1333333333333333,0.0666666666666666,0.0666666666666666,0.0,0.0,1
CPP_positive_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,1
CPP_positive_21,0.0,0.0526315789473684,0.0,0.0,0.1052631578947368,0.0526315789473684,0.0,0.0526315789473684,0.1578947368421052,0.1052631578947368,0.0,0.1052631578947368,0.1052631578947368,0.0,0.1578947368421052,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0,1
CPP_positive_22,0.125,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.375,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_23,0.0588235294117647,0.1764705882352941,0.0,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529411764705882,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_24,0.0666666666666666,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0666666666666666,0.0666666666666666,0.0,0.0666666666666666,0.0,0.2666666666666666,0.0666666666666666,0.1333333333333333,0.0,0.1333333333333333,0.0666666666666666,1
CPP_positive_25,0.0588235294117647,0.0,0.0,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0,0.2941176470588235,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0,0.2352941176470588,0.1764705882352941,0.0,0.0,0.0,0.0,1
CPP_positive_26,0.25,0.0,0.0714285714285714,0.0,0.0,0.0714285714285714,0.0,0.0,0.0357142857142857,0.25,0.0,0.0,0.0714285714285714,0.0,0.0357142857142857,0.0714285714285714,0.0,0.1071428571428571,0.0,0.0357142857142857,1
CPP_positive_27,0.1851851851851851,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.074074074074074,0.1481481481481481,0.2222222222222222,0.0,0.074074074074074,0.037037037037037,0.0,0.0,0.037037037037037,0.037037037037037,0.0,0.037037037037037,0.037037037037037,1
CPP_positive_28,0.0588235294117647,0.1764705882352941,0.0,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529411764705882,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_29,0.0666666666666666,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.2666666666666666,0.0666666666666666,0.0,0.0,0.2,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,0.0,0.0,0.0666666666666666,1
CPP_positive_30,0.0,0.0588235294117647,0.0,0.0,0.1176470588235294,0.1176470588235294,0.0,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0,0.0,0.0588235294117647,0.0,0.4705882352941176,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_31,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.1333333333333333,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.1333333333333333,0.0,0.0,1
CPP_positive_32,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_33,0.0,0.0,0.1333333333333333,0.1333333333333333,0.0666666666666666,0.1333333333333333,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1333333333333333,1
CPP_positive_34,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,0.0666666666666666,0.0,0.2,0.0666666666666666,0.0666666666666666,0.0,0.2,0.1333333333333333,1
CPP_positive_35,0.0588235294117647,0.1764705882352941,0.0,0.0,0.0,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4705882352941176,0.1176470588235294,0.0,0.0,0.0,0.0,1
CPP_positive_36,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.25,0.0,0.0,0.0833333333333333,0.0,1
CPP_positive_37,0.0454545454545454,0.0,0.0,0.0,0.0,0.1363636363636363,0.0,0.0,0.3636363636363636,0.1818181818181818,0.0,0.0,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0909090909090909,0.0,0.0454545454545454,0.0,0.0,1
CPP_positive_38,0.1904761904761904,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.1428571428571428,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0,0.0,0.0476190476190476,0.238095238095238,0.0,0.0476190476190476,0.0476190476190476,0.0,1
CPP_positive_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.1666666666666666,0.0,0.0833333333333333,0.0,0.0,0.0,1
CPP_positive_40,0.1666666666666666,0.0,0.0,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,1
CPP_positive_41,0.0833333333333333,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0416666666666666,0.0416666666666666,0.1666666666666666,0.1666666666666666,0.0416666666666666,0.1666666666666666,0.0,0.0416666666666666,1
CPP_positive_42,0.0,0.2105263157894736,0.0,0.0,0.0526315789473684,0.1052631578947368,0.0,0.0526315789473684,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.0526315789473684,0.0526315789473684,0.1052631578947368,1
CPP_positive_43,0.1333333333333333,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.2,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_44,0.3636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.4545454545454545,0.0,0.0,0.0,0.0,0.0909090909090909,1
CPP_positive_45,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,1
CPP_positive_46,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.125,1
CPP_positive_47,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1
CPP_positive_48,0.0,0.0,0.0454545454545454,0.0,0.0,0.0454545454545454,0.0,0.0454545454545454,0.1818181818181818,0.0454545454545454,0.0,0.0454545454545454,0.1363636363636363,0.0,0.0909090909090909,0.0454545454545454,0.1818181818181818,0.0909090909090909,0.0,0.0454545454545454,1
CPP_positive_49,0.0,0.0555555555555555,0.0555555555555555,0.1111111111111111,0.0555555555555555,0.1666666666666666,0.0,0.0,0.0555555555555555,0.0555555555555555,0.0,0.0,0.0555555555555555,0.0,0.0555555555555555,0.2777777777777778,0.0,0.0555555555555555,0.0,0.0,1
CPP_positive_50,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.2222222222222222,0.0,1
CPP_positive_51,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.6,0.0,0.0,0.0666666666666666,0.1333333333333333,0.0666666666666666,1
CPP_positive_52,0.1538461538461538,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.2307692307692307,0.0,0.0,0.2307692307692307,0.0,0.0,0.2307692307692307,0.0,0.0769230769230769,0.0,0.0,0.0,1
CPP_positive_53,0.0,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.3333333333333333,0.0,0.0,0.0833333333333333,1
