name,CTDC_hydrophobicity_PRAM900101.G1,CTDC_hydrophobicity_PRAM900101.G2,CTDC_hydrophobicity_PRAM900101.G3,CTDC_hydrophobicity_ARGP820101.G1,CTDC_hydrophobicity_ARGP820101.G2,CTDC_hydrophobicity_ARGP820101.G3,CTDC_hydrophobicity_ZIMJ680101.G1,CTDC_hydrophobicity_ZIMJ680101.G2,CTDC_hydrophobicity_ZIMJ680101.G3,CTDC_hydrophobicity_PONP930101.G1,CTDC_hydrophobicity_PONP930101.G2,CTDC_hydrophobicity_PONP930101.G3,CTDC_hydrophobicity_CASG920101.G1,CTDC_hydrophobicity_CASG920101.G2,CTDC_hydrophobicity_CASG920101.G3,CTDC_hydrophobicity_ENGD860101.G1,CTDC_hydrophobicity_ENGD860101.G2,CTDC_hydrophobicity_ENGD860101.G3,CTDC_hydrophobicity_FASG890101.G1,CTDC_hydrophobicity_FASG890101.G2,CTDC_hydrophobicity_FASG890101.G3,CTDC_normwaalsvolume.G1,CTDC_normwaalsvolume.G2,CTDC_normwaalsvolume.G3,CTDC_polarity.G1,CTDC_polarity.G2,CTDC_polarity.G3,CTDC_polarizability.G1,CTDC_polarizability.G2,CTDC_polarizability.G3,CTDC_charge.G1,CTDC_charge.G2,CTDC_charge.G3,CTDC_secondarystruct.G1,CTDC_secondarystruct.G2,CTDC_secondarystruct.G3,CTDC_solventaccess.G1,CTDC_solventaccess.G2,CTDC_solventaccess.G3,target
CPP_positive_1,0.5833333333333334,0.3333333333333333,0.0833333333333333,0.1666666666666666,0.6666666666666666,0.1666666666666667,0.3333333333333333,0.5,0.1666666666666667,0.5,0.4166666666666667,0.0833333333333333,0.8333333333333334,0.1666666666666666,-2.775557561562892e-17,0.75,0.1666666666666666,0.0833333333333333,0.5833333333333334,0.25,0.1666666666666666,0.25,0.0833333333333333,0.6666666666666666,0.0833333333333333,0.25,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.6666666666666667,0.5833333333333334,0.4166666666666667,-5.551115123125783e-17,0.75,0.0,0.25,0.25,0.5833333333333334,0.1666666666666666,1
CPP_positive_2,0.3157894736842105,0.2631578947368421,0.4210526315789474,0.2105263157894736,0.2631578947368421,0.5263157894736843,0.3684210526315789,0.2105263157894736,0.4210526315789473,0.3684210526315789,0.1578947368421052,0.4736842105263157,0.4736842105263157,0.3157894736842105,0.2105263157894737,0.5263157894736842,0.1578947368421052,0.3157894736842105,0.2631578947368421,0.2105263157894736,0.5263157894736843,0.1578947368421052,0.3157894736842105,0.5263157894736842,0.4736842105263157,0.1578947368421052,0.368421052631579,0.0526315789473684,0.4210526315789473,0.5263157894736843,0.1578947368421052,0.8421052631578947,0.0,0.5263157894736842,0.2631578947368421,0.2105263157894737,0.4210526315789473,0.3157894736842105,0.2631578947368421,1
CPP_positive_3,0.4583333333333333,0.2916666666666667,0.25,0.25,0.5,0.25,0.7916666666666666,0.0833333333333333,0.125,0.25,0.5,0.25,0.7083333333333334,0.125,0.1666666666666666,0.5416666666666666,0.3333333333333333,0.125,0.4583333333333333,0.25,0.2916666666666667,0.2916666666666667,0.1666666666666666,0.5416666666666666,0.25,0.2916666666666667,0.4583333333333333,0.2083333333333333,0.25,0.5416666666666666,0.375,0.625,0.0,0.5,0.3333333333333333,0.1666666666666666,0.375,0.4583333333333333,0.1666666666666666,1
CPP_positive_4,0.3076923076923077,0.4230769230769231,0.2692307692307692,0.3846153846153846,0.3846153846153846,0.2307692307692307,0.5769230769230769,0.1923076923076923,0.2307692307692308,0.4615384615384615,0.2692307692307692,0.2692307692307692,0.5384615384615384,0.4615384615384615,0.0,0.3461538461538461,0.3846153846153846,0.2692307692307692,0.3076923076923077,0.2307692307692307,0.4615384615384615,0.5,0.3846153846153846,0.1153846153846153,0.2692307692307692,0.4230769230769231,0.3076923076923077,0.4615384615384615,0.4230769230769231,0.1153846153846153,0.1153846153846153,0.7307692307692307,0.1538461538461538,0.5769230769230769,0.1538461538461538,0.2692307692307693,0.5384615384615384,0.3076923076923077,0.1538461538461538,1
CPP_positive_5,0.2941176470588235,0.2352941176470588,0.4705882352941176,0.1176470588235294,0.4705882352941176,0.4117647058823529,0.2352941176470588,0.3529411764705882,0.4117647058823528,0.2352941176470588,0.2941176470588235,0.4705882352941176,0.4117647058823529,0.4705882352941176,0.1176470588235294,0.3529411764705882,0.1764705882352941,0.4705882352941175,0.2941176470588235,0.1176470588235294,0.588235294117647,0.2352941176470588,0.3529411764705882,0.4117647058823528,0.4705882352941176,0.1764705882352941,0.3529411764705882,0.1764705882352941,0.4117647058823529,0.4117647058823529,0.2941176470588235,0.7058823529411765,-1.1102230246251563e-16,0.7647058823529411,0.1176470588235294,0.1176470588235294,0.6470588235294118,0.2941176470588235,0.0588235294117646,1
CPP_positive_6,0.3333333333333333,0.4166666666666667,0.25,0.5,0.1666666666666666,0.3333333333333333,0.5,0.1666666666666666,0.3333333333333333,0.5833333333333334,0.1666666666666666,0.2499999999999999,0.6666666666666666,0.25,0.0833333333333333,0.5,0.25,0.25,0.25,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.5,0.1666666666666667,0.25,0.3333333333333333,0.4166666666666667,0.25,0.5833333333333334,0.1666666666666666,0.0833333333333333,0.9166666666666666,0.0,0.4166666666666667,0.1666666666666666,0.4166666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333334,1
CPP_positive_7,0.4166666666666667,0.5,0.0833333333333332,0.5,0.25,0.25,0.5833333333333334,0.1666666666666666,0.2499999999999999,0.5833333333333334,0.1666666666666666,0.2499999999999999,0.6666666666666666,0.25,0.0833333333333333,0.6666666666666666,0.25,0.0833333333333333,0.4166666666666667,0.25,0.3333333333333332,0.3333333333333333,0.1666666666666666,0.5000000000000001,0.25,0.25,0.5,0.3333333333333333,0.1666666666666666,0.5000000000000001,0.1666666666666666,0.75,0.0833333333333333,0.3333333333333333,0.4166666666666667,0.25,0.0833333333333333,0.4166666666666667,0.4999999999999999,1
CPP_positive_8,0.25,0.4166666666666667,0.3333333333333333,0.0833333333333333,0.5833333333333334,0.3333333333333332,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.25,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.25,0.4166666666666667,0.25,0.3333333333333332,0.3333333333333333,0.0,0.6666666666666667,0.25,0.25,0.5,0.4166666666666667,0.25,0.3333333333333332,0.25,0.25,0.5,0.25,0.75,0.0,0.5833333333333334,0.3333333333333333,0.0833333333333333,0.4166666666666667,0.25,0.3333333333333332,1
CPP_positive_9,0.6666666666666666,0.1666666666666666,0.1666666666666667,0.25,0.6666666666666666,0.0833333333333333,0.6666666666666666,0.25,0.0833333333333333,0.4166666666666667,0.4166666666666667,0.1666666666666665,0.8333333333333334,0.1666666666666666,-2.775557561562892e-17,0.6666666666666666,0.1666666666666666,0.1666666666666667,0.75,0.0833333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.6666666666666667,0.1666666666666666,0.1666666666666666,0.6666666666666667,0.1666666666666666,0.1666666666666666,0.6666666666666667,0.5833333333333334,0.4166666666666667,-5.551115123125783e-17,0.8333333333333334,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.6666666666666666,0.25,1
CPP_positive_10,0.0833333333333333,0.5,0.4166666666666666,0.25,0.25,0.5,0.4166666666666667,0.1666666666666666,0.4166666666666666,0.4166666666666667,0.1666666666666666,0.4166666666666666,0.4166666666666667,0.5,0.0833333333333332,0.3333333333333333,0.3333333333333333,0.3333333333333334,0.25,0.1666666666666666,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.1666666666666665,0.4166666666666667,0.4166666666666667,0.1666666666666665,0.25,0.5833333333333334,0.1666666666666666,0.0,1.0,0.0,0.5,0.1666666666666666,0.3333333333333333,0.5,0.0833333333333333,0.4166666666666667,1
