name,CTDT_hydrophobicity_PRAM900101.Tr1221,CTDT_hydrophobicity_PRAM900101.Tr1331,CTDT_hydrophobicity_PRAM900101.Tr2332,CTDT_hydrophobicity_ARGP820101.Tr1221,CTDT_hydrophobicity_ARGP820101.Tr1331,CTDT_hydrophobicity_ARGP820101.Tr2332,CTDT_hydrophobicity_ZIMJ680101.Tr1221,CTDT_hydrophobicity_ZIMJ680101.Tr1331,CTDT_hydrophobicity_ZIMJ680101.Tr2332,CTDT_hydrophobicity_PONP930101.Tr1221,CTDT_hydrophobicity_PONP930101.Tr1331,CTDT_hydrophobicity_PONP930101.Tr2332,CTDT_hydrophobicity_CASG920101.Tr1221,CTDT_hydrophobicity_CASG920101.Tr1331,CTDT_hydrophobicity_CASG920101.Tr2332,CTDT_hydrophobicity_ENGD860101.Tr1221,CTDT_hydrophobicity_ENGD860101.Tr1331,CTDT_hydrophobicity_ENGD860101.Tr2332,CTDT_hydrophobicity_FASG890101.Tr1221,CTDT_hydrophobicity_FASG890101.Tr1331,CTDT_hydrophobicity_FASG890101.Tr2332,CTDT_normwaalsvolume.Tr1221,CTDT_normwaalsvolume.Tr1331,CTDT_normwaalsvolume.Tr2332,CTDT_polarity.Tr1221,CTDT_polarity.Tr1331,CTDT_polarity.Tr2332,CTDT_polarizability.Tr1221,CTDT_polarizability.Tr1331,CTDT_polarizability.Tr2332,CTDT_charge.Tr1221,CTDT_charge.Tr1331,CTDT_charge.Tr2332,CTDT_secondarystruct.Tr1221,CTDT_secondarystruct.Tr1331,CTDT_secondarystruct.Tr2332,CTDT_solventaccess.Tr1221,CTDT_solventaccess.Tr1331,CTDT_solventaccess.Tr2332,target
CPP_positive_1,0.2105263157894736,0.1578947368421052,0.2894736842105263,0.3421052631578947,0.131578947368421,0.2368421052631578,0.3421052631578947,0.1842105263157894,0.131578947368421,0.1578947368421052,0.3157894736842105,0.1578947368421052,0.4210526315789473,0.1052631578947368,0.131578947368421,0.2368421052631578,0.2631578947368421,0.131578947368421,0.0789473684210526,0.2368421052631578,0.2894736842105263,0.2105263157894736,0.3684210526315789,0.2105263157894736,0.2631578947368421,0.2105263157894736,0.1578947368421052,0.1842105263157894,0.2368421052631578,0.3421052631578947,0.1052631578947368,0.0,0.0526315789473684,0.2368421052631578,0.2894736842105263,0.131578947368421,0.131578947368421,0.3157894736842105,0.2368421052631578,1
CPP_positive_2,0.3076923076923077,0.2307692307692307,0.1538461538461538,0.2307692307692307,0.3076923076923077,0.2307692307692307,0.1538461538461538,0.3846153846153846,0.1538461538461538,0.1538461538461538,0.3846153846153846,0.1538461538461538,0.3076923076923077,0.2307692307692307,0.0,0.0769230769230769,0.3076923076923077,0.0769230769230769,0.1538461538461538,0.3846153846153846,0.1538461538461538,0.3076923076923077,0.1538461538461538,0.3076923076923077,0.1538461538461538,0.3846153846153846,0.1538461538461538,0.2307692307692307,0.0769230769230769,0.3846153846153846,0.3076923076923077,0.0,0.1538461538461538,0.3076923076923077,0.2307692307692307,0.2307692307692307,0.3076923076923077,0.0769230769230769,0.2307692307692307,1
CPP_positive_3,0.1538461538461538,0.3846153846153846,0.1538461538461538,0.3076923076923077,0.1538461538461538,0.2307692307692307,0.3076923076923077,0.2307692307692307,0.1538461538461538,0.0769230769230769,0.3846153846153846,0.1538461538461538,0.3846153846153846,0.1538461538461538,0.2307692307692307,0.1538461538461538,0.3846153846153846,0.1538461538461538,0.1538461538461538,0.3846153846153846,0.1538461538461538,0.2307692307692307,0.0769230769230769,0.2307692307692307,0.1538461538461538,0.3846153846153846,0.1538461538461538,0.2307692307692307,0.0769230769230769,0.2307692307692307,0.2307692307692307,0.0,0.1538461538461538,0.6153846153846154,0.2307692307692307,0.0769230769230769,0.3846153846153846,0.1538461538461538,0.1538461538461538,1
CPP_negative_4,0.1052631578947368,0.1578947368421052,0.1052631578947368,0.2105263157894736,0.2105263157894736,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.2631578947368421,0.1578947368421052,0.1052631578947368,0.2105263157894736,0.0526315789473684,0.0,0.2105263157894736,0.1578947368421052,0.0526315789473684,0.1052631578947368,0.1578947368421052,0.1052631578947368,0.0526315789473684,0.1578947368421052,0.2631578947368421,0.1052631578947368,0.1578947368421052,0.1052631578947368,0.0526315789473684,0.1578947368421052,0.2631578947368421,0.2631578947368421,0.0,0.1052631578947368,0.2105263157894736,0.1578947368421052,0.0526315789473684,0.2631578947368421,0.1052631578947368,0.0,0
CPP_negative_5,0.3636363636363636,0.0909090909090909,0.0909090909090909,0.5454545454545454,0.0,0.0,0.1818181818181818,0.0,0.0,0.5454545454545454,0.1818181818181818,0.0,0.5454545454545454,0.0,0.0,0.3636363636363636,0.0909090909090909,0.0909090909090909,0.1818181818181818,0.3636363636363636,0.1818181818181818,0.1818181818181818,0.2727272727272727,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.3636363636363636,0.1818181818181818,0.2727272727272727,0.0909090909090909,0.1818181818181818,0.0,0.0,0.1818181818181818,0.3636363636363636,0.0909090909090909,0.0909090909090909,0.4545454545454545,0.3636363636363636,0
CPP_negative_6,0.375,0.125,0.25,0.5625,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.0,0.3125,0.0625,0.375,0.125,0.25,0.375,0.125,0.1875,0.0,0.5,0.0,0.25,0.125,0.375,0.25,0.375,0.125,0.5,0.0,0.0,0.1875,0.375,0.1875,0.5,0.0,0.0,0
CPP_positive_7,0.1333333333333333,0.4,0.2,0.1333333333333333,0.0666666666666666,0.5333333333333333,0.2666666666666666,0.0666666666666666,0.4,0.0666666666666666,0.5333333333333333,0.0666666666666666,0.2,0.4,0.0666666666666666,0.2,0.4666666666666667,0.1333333333333333,0.0666666666666666,0.4,0.2,0.2,0.1333333333333333,0.2666666666666666,0.2,0.4,0.1333333333333333,0.2,0.0,0.4,0.2666666666666666,0.0,0.1333333333333333,0.3333333333333333,0.0666666666666666,0.2666666666666666,0.4,0.3333333333333333,0.1333333333333333,1
CPP_positive_8,0.1428571428571428,0.4285714285714285,0.1428571428571428,0.2142857142857142,0.3571428571428571,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.1428571428571428,0.4285714285714285,0.1428571428571428,0.0,0.5714285714285714,0.0,0.3571428571428571,0.2142857142857142,0.1428571428571428,0.1428571428571428,0.4285714285714285,0.1428571428571428,0.2142857142857142,0.2142857142857142,0.2857142857142857,0.1428571428571428,0.4285714285714285,0.1428571428571428,0.2142857142857142,0.2142857142857142,0.2857142857142857,0.1428571428571428,0.0,0.4285714285714285,0.4285714285714285,0.1428571428571428,0.1428571428571428,0.5,0.0714285714285714,0.0714285714285714,1
CPP_negative_9,0.0833333333333333,0.25,0.3333333333333333,0.0416666666666666,0.2916666666666667,0.2916666666666667,0.0,0.4166666666666667,0.1666666666666666,0.0416666666666666,0.2916666666666667,0.2916666666666667,0.0,0.4166666666666667,0.1666666666666666,0.0833333333333333,0.4166666666666667,0.1666666666666666,0.0833333333333333,0.25,0.1666666666666666,0.0416666666666666,0.2083333333333333,0.125,0.1666666666666666,0.4166666666666667,0.0833333333333333,0.0416666666666666,0.2083333333333333,0.125,0.1666666666666666,0.0,0.1666666666666666,0.4166666666666667,0.0833333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0
CPP_negative_10,0.2542372881355932,0.2372881355932203,0.1694915254237288,0.3050847457627119,0.288135593220339,0.1525423728813559,0.135593220338983,0.4067796610169492,0.0677966101694915,0.2203389830508474,0.3389830508474576,0.135593220338983,0.2711864406779661,0.1694915254237288,0.0677966101694915,0.2372881355932203,0.288135593220339,0.1525423728813559,0.1525423728813559,0.3220338983050847,0.1186440677966101,0.2372881355932203,0.1864406779661017,0.2711864406779661,0.1525423728813559,0.3220338983050847,0.2033898305084746,0.2372881355932203,0.1864406779661017,0.2711864406779661,0.3050847457627119,0.0847457627118644,0.1186440677966101,0.3220338983050847,0.2372881355932203,0.0508474576271186,0.2372881355932203,0.135593220338983,0.2542372881355932,0
