name,type9_T1.G.1_T1.G.1_gap2,type9_T1.G.1_T1.G.2_gap2,type9_T1.G.2_T1.G.1_gap2,type9_T1.G.2_T1.G.2_gap2,target
CPP_positive_1,11.0,1.0,1.0,0.0,1
CPP_positive_2,4.0,0.0,1.0,0.0,1
CPP_positive_3,5.0,0.0,0.0,0.0,1
CPP_negative_4,5.0,1.0,0.0,1.0,0
CPP_negative_5,4.0,0.0,0.0,0.0,0
CPP_negative_6,6.0,0.0,0.0,0.0,0
CPP_positive_7,3.0,1.0,1.0,0.0,1
CPP_positive_8,5.0,0.0,0.0,0.0,1
CPP_negative_9,8.0,0.0,0.0,0.0,0
CPP_negative_10,16.0,1.0,3.0,0.0,0
CPP_positive_11,4.0,0.0,0.0,0.0,1
CPP_negative_12,5.0,1.0,4.0,0.0,0
CPP_negative_13,7.0,0.0,1.0,0.0,0
CPP_positive_14,4.0,0.0,0.0,0.0,1
CPP_negative_15,6.0,0.0,0.0,0.0,0
CPP_positive_16,8.0,0.0,0.0,0.0,1
CPP_positive_17,11.0,0.0,0.0,0.0,1
CPP_negative_18,4.0,0.0,0.0,0.0,0
CPP_negative_19,4.0,0.0,0.0,0.0,0
CPP_positive_20,9.0,1.0,2.0,0.0,1
CPP_negative_21,6.0,0.0,0.0,0.0,0
CPP_positive_22,6.0,0.0,0.0,0.0,1
CPP_negative_23,10.0,0.0,0.0,0.0,0
CPP_negative_24,5.0,0.0,2.0,0.0,0
CPP_negative_25,4.0,0.0,0.0,0.0,0
CPP_positive_26,3.0,0.0,0.0,0.0,1
CPP_negative_27,3.0,1.0,0.0,0.0,0
CPP_positive_28,6.0,0.0,1.0,0.0,1
CPP_negative_29,4.0,1.0,2.0,0.0,0
CPP_positive_30,12.0,0.0,1.0,0.0,1
CPP_negative_31,5.0,0.0,0.0,0.0,0
CPP_positive_32,8.0,1.0,3.0,0.0,1
CPP_positive_33,5.0,1.0,0.0,0.0,1
CPP_negative_34,9.0,0.0,1.0,0.0,0
CPP_negative_35,8.0,0.0,0.0,0.0,0
CPP_positive_36,3.0,0.0,0.0,0.0,1
CPP_positive_37,5.0,0.0,0.0,0.0,1
CPP_negative_38,4.0,0.0,0.0,0.0,0
CPP_positive_39,4.0,0.0,0.0,0.0,1
CPP_negative_40,7.0,0.0,0.0,0.0,0
